	gene
IGFBP1	IGFBP1
ZBED3	ZBED3
CNN2	CNN2
ARPP19	ARPP19
NUP98	NUP98
RHBDL3	RHBDL3
NFKBIL1	NFKBIL1
SLC7A2	SLC7A2
MARCKS	MARCKS
NLRC5	NLRC5
TRDMT1	TRDMT1
UBA1	UBA1
CATSPERE	CATSPERE
H1F0	H1F0
FBXL7	FBXL7
SHLD2	SHLD2
GCM2	GCM2
AC092835.1	AC092835.1
KCNJ14	KCNJ14
MAP3K9	MAP3K9
PAPOLG	PAPOLG
CYB5A	CYB5A
DCUN1D1	DCUN1D1
PUSL1	PUSL1
NCK1	NCK1
HIVEP2	HIVEP2
P2RX5	P2RX5
MX1	MX1
LEPROTL1	LEPROTL1
LRRC75A	LRRC75A
TAOK3	TAOK3
SP8	SP8
SLC35E1	SLC35E1
PEAK3	PEAK3
SHISA7	SHISA7
COPS7B	COPS7B
RIN1	RIN1
FASTKD5	FASTKD5
EXOC2	EXOC2
HIF1AN	HIF1AN
PAX5	PAX5
PAX8	PAX8
TDG	TDG
PTBP3	PTBP3
ACTN4	ACTN4
ZNF595	ZNF595
SELL	SELL
BTBD11	BTBD11
ITGAM	ITGAM
CBX2	CBX2
DNAJB7	DNAJB7
NT5DC1	NT5DC1
COL9A3	COL9A3
DPY19L3	DPY19L3
SMIM34B	SMIM34B
OTUD5	OTUD5
SNPH	SNPH
WASHC4	WASHC4
LIG1	LIG1
BDP1	BDP1
DDI2	DDI2
CCDC121	CCDC121
ITPKB	ITPKB
KLHL4	KLHL4
ZNF607	ZNF607
DKK2	DKK2
RPS4Y1	RPS4Y1
ABHD5	ABHD5
PBLD	PBLD
LLGL2	LLGL2
NAGLU	NAGLU
ATP5IF1	ATP5IF1
BCHE	BCHE
IER3IP1	IER3IP1
SMC2	SMC2
MUC17	MUC17
C2orf80	C2orf80
CRABP2	CRABP2
PLCXD3	PLCXD3
SFXN2	SFXN2
C19orf54	C19orf54
COA6	COA6
FBXW5	FBXW5
ZDHHC16	ZDHHC16
CINP	CINP
CARD9	CARD9
BRD3OS	BRD3OS
ZNF764	ZNF764
PRKCSH	PRKCSH
AXIN1	AXIN1
FDXACB1	FDXACB1
CCER1	CCER1
PDE10A	PDE10A
OR2T2	OR2T2
TMX1	TMX1
MAPK4	MAPK4
ASAH2	ASAH2
KIAA1549L	KIAA1549L
CIDEC	CIDEC
GAL3ST1	GAL3ST1
IDH1	IDH1
MAGED4B	MAGED4B
GAPT	GAPT
CHGA	CHGA
FOXM1	FOXM1
NUDT19	NUDT19
DNAH11	DNAH11
CCDC167	CCDC167
KLHDC1	KLHDC1
ANKHD1	ANKHD1
JADE1	JADE1
LYSMD3	LYSMD3
GSX2	GSX2
PLEKHA5	PLEKHA5
ENTHD1	ENTHD1
NTPCR	NTPCR
NPTX2	NPTX2
EPN2	EPN2
PHC3	PHC3
CHRNA7	CHRNA7
CALML4	CALML4
PDCL	PDCL
CACNB2	CACNB2
FHL2	FHL2
TM4SF19	TM4SF19
MRPL47	MRPL47
CACHD1	CACHD1
NIF3L1	NIF3L1
DEUP1	DEUP1
ARHGAP33	ARHGAP33
AL021997.3	AL021997.3
DENND5A	DENND5A
FHOD3	FHOD3
MXRA8	MXRA8
AIRE	AIRE
SLC35B2	SLC35B2
NRSN2	NRSN2
PPP1R16B	PPP1R16B
GSG1	GSG1
CCDC30	CCDC30
NPAP1	NPAP1
LYPD5	LYPD5
PREPL	PREPL
H2AFV	H2AFV
NANOGNB	NANOGNB
HIST2H4B	HIST2H4B
IL12RB2	IL12RB2
C1QL1	C1QL1
PAX9	PAX9
SESN3	SESN3
DDX39B	DDX39B
PSKH2	PSKH2
SLC2A5	SLC2A5
KCNJ3	KCNJ3
KDM4B	KDM4B
PLOD2	PLOD2
NUDCD3	NUDCD3
MPC1L	MPC1L
RRAS2	RRAS2
FAM168B	FAM168B
CLEC7A	CLEC7A
CNKSR2	CNKSR2
VPS29	VPS29
C5AR1	C5AR1
WASF3	WASF3
LIPN	LIPN
RPRD1A	RPRD1A
SYNPO2	SYNPO2
PRIM2	PRIM2
HMSD	HMSD
NCOA1	NCOA1
C11orf16	C11orf16
SLC10A3	SLC10A3
TSTD1	TSTD1
GCG	GCG
PCDHB1	PCDHB1
LRRIQ4	LRRIQ4
PRUNE2	PRUNE2
ANAPC13	ANAPC13
AGR2	AGR2
BNIP3	BNIP3
FAM181B	FAM181B
ITLN1	ITLN1
TAB3	TAB3
COQ3	COQ3
AIDA	AIDA
GDF7	GDF7
GPNMB	GPNMB
GOLGA6L22	GOLGA6L22
PIKFYVE	PIKFYVE
FUOM	FUOM
PDE2A	PDE2A
CLCNKA	CLCNKA
ACO2	ACO2
YPEL1	YPEL1
C9	C9
RUBCN	RUBCN
LIN54	LIN54
ASB4	ASB4
WASHC2A	WASHC2A
HLA-DRB5	HLA-DRB5
CACNB3	CACNB3
MAP1A	MAP1A
MED18	MED18
C18orf54	C18orf54
ZIC1	ZIC1
TIMM10B	TIMM10B
ATP6V0A1	ATP6V0A1
GJC2	GJC2
SLC9A9	SLC9A9
BMP8A	BMP8A
OR51M1	OR51M1
UTP4	UTP4
C8orf58	C8orf58
C19orf38	C19orf38
PSMD12	PSMD12
NUP210	NUP210
ACKR1	ACKR1
ADGRD1	ADGRD1
CH25H	CH25H
SLX1A	SLX1A
USP34	USP34
CNTNAP4	CNTNAP4
L3MBTL1	L3MBTL1
TEKT1	TEKT1
CYP39A1	CYP39A1
ISM1	ISM1
BZW2	BZW2
TRNAU1AP	TRNAU1AP
ISOC1	ISOC1
RNF216	RNF216
KIAA0355	KIAA0355
TRPS1	TRPS1
C14orf178	C14orf178
TIMM23B	TIMM23B
RAP1B	RAP1B
RAB26	RAB26
C1orf100	C1orf100
EPHX3	EPHX3
CEACAM20	CEACAM20
BBS2	BBS2
NCBP3	NCBP3
BEND5	BEND5
MARVELD3	MARVELD3
C11orf53	C11orf53
APBB2	APBB2
GNAL	GNAL
SPARCL1	SPARCL1
CFAP54	CFAP54
MRGPRX1	MRGPRX1
TRIM75P	TRIM75P
ATG7	ATG7
ODR4	ODR4
ZNF212	ZNF212
SDC3	SDC3
CALM1	CALM1
ESR2	ESR2
GLRX3	GLRX3
PET100	PET100
IPO8	IPO8
CBSL	CBSL
PDGFRL	PDGFRL
CST3	CST3
INSL5	INSL5
MSTN	MSTN
FAHD2B	FAHD2B
IL20	IL20
MOG	MOG
HS1BP3	HS1BP3
TAF15	TAF15
MCOLN3	MCOLN3
CEPT1	CEPT1
MSX2	MSX2
EPHA1	EPHA1
ZBED9	ZBED9
EPRS	EPRS
KMT2D	KMT2D
HIST1H2AD	HIST1H2AD
SERPINF2	SERPINF2
PCDHB12	PCDHB12
CCDC186	CCDC186
ERBB4	ERBB4
B3GNT10	B3GNT10
B4GALNT2	B4GALNT2
PRR13	PRR13
PPT2	PPT2
KCNE1	KCNE1
MAP2K5	MAP2K5
SAFB	SAFB
NOTCH2	NOTCH2
RTL8B	RTL8B
TRIM5	TRIM5
MTA1	MTA1
NOP16	NOP16
LHFPL4	LHFPL4
MAP1LC3C	MAP1LC3C
DAAM1	DAAM1
LRRC59	LRRC59
MICALL2	MICALL2
HIST1H3B	HIST1H3B
PLCZ1	PLCZ1
WDYHV1	WDYHV1
C5orf22	C5orf22
P2RY10	P2RY10
ZBTB41	ZBTB41
QPCT	QPCT
ZC4H2	ZC4H2
MTERF2	MTERF2
RAB18	RAB18
DNAJB2	DNAJB2
GLUD1	GLUD1
MARCO	MARCO
NDUFB1	NDUFB1
ATF7IP	ATF7IP
TMEM102	TMEM102
BAG5	BAG5
HAS2	HAS2
CARMIL3	CARMIL3
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3
CUL5	CUL5
GNPNAT1	GNPNAT1
ZIC4	ZIC4
PELI1	PELI1
FAM13A	FAM13A
WASF1	WASF1
ENAM	ENAM
ZIC5	ZIC5
RGS16	RGS16
CYP2A13	CYP2A13
PGC	PGC
GARS	GARS
SLCO3A1	SLCO3A1
RTN4IP1	RTN4IP1
WNK3	WNK3
SYNDIG1L	SYNDIG1L
CAVIN3	CAVIN3
ANTXR2	ANTXR2
AC093668.3	AC093668.3
C9orf78	C9orf78
AZU1	AZU1
DCAF17	DCAF17
AEBP1	AEBP1
KCNJ9	KCNJ9
ZFP64	ZFP64
ZFP30	ZFP30
PTPN13	PTPN13
KIF23	KIF23
LHPP	LHPP
SLC39A1	SLC39A1
HAUS7	HAUS7
GDPD5	GDPD5
KAZALD1	KAZALD1
DMD	DMD
DDAH2	DDAH2
ADH5	ADH5
POLRMT	POLRMT
PIK3R3	PIK3R3
PIM2	PIM2
MKRN2OS	MKRN2OS
CTBS	CTBS
SIGLEC12	SIGLEC12
CEP164	CEP164
IRF6	IRF6
ASPRV1	ASPRV1
ZFP3	ZFP3
UBE2G1	UBE2G1
ISG20	ISG20
RBP1	RBP1
TGFB3	TGFB3
OLIG3	OLIG3
ALOX12B	ALOX12B
PEX19	PEX19
PRMT3	PRMT3
PTCD2	PTCD2
RALYL	RALYL
CARD19	CARD19
MIPEP	MIPEP
GIMAP7	GIMAP7
ZNF286B	ZNF286B
MAPK6	MAPK6
POTEG	POTEG
HLA-C	HLA-C
MPC2	MPC2
PSMG3	PSMG3
SIM1	SIM1
ALDH9A1	ALDH9A1
ZNF329	ZNF329
PRR3	PRR3
GADD45A	GADD45A
RBFOX1	RBFOX1
PRSS57	PRSS57
ZHX1	ZHX1
KLRC4	KLRC4
SF3B6	SF3B6
ANKRD17	ANKRD17
NFKB2	NFKB2
ZNF219	ZNF219
KCNC2	KCNC2
HYAL2	HYAL2
AL035681.1	AL035681.1
PPP1R42	PPP1R42
IL17F	IL17F
OXGR1	OXGR1
CDKN2D	CDKN2D
CXCL1	CXCL1
PIPOX	PIPOX
ADGRG3	ADGRG3
EMC4	EMC4
FAM131C	FAM131C
SPIN2A	SPIN2A
GPR150	GPR150
MFHAS1	MFHAS1
ORC4	ORC4
OBP2B	OBP2B
ALS2	ALS2
FAM84A	FAM84A
DKK1	DKK1
SLC25A6	SLC25A6
TTC16	TTC16
FANCC	FANCC
AC093157.1	AC093157.1
ZNF148	ZNF148
SH3RF2	SH3RF2
UCMA	UCMA
TAF4B	TAF4B
CACNA2D1	CACNA2D1
FAM84B	FAM84B
SPOCD1	SPOCD1
SETD2	SETD2
SHC4	SHC4
RFC4	RFC4
ABAT	ABAT
ZNF304	ZNF304
ZFP14	ZFP14
KRTAP5-8	KRTAP5-8
CYP4F22	CYP4F22
SEMA3E	SEMA3E
INTS4	INTS4
TAF6L	TAF6L
CRHR2	CRHR2
DMGDH	DMGDH
SRCIN1	SRCIN1
KLHL8	KLHL8
RASGEF1C	RASGEF1C
SLC45A3	SLC45A3
SND1	SND1
RANBP10	RANBP10
AP1M1	AP1M1
RASSF9	RASSF9
CENPO	CENPO
HDAC7	HDAC7
UFSP2	UFSP2
AMN1	AMN1
RNF149	RNF149
SERINC4	SERINC4
MSI2	MSI2
SH3TC2	SH3TC2
E2F6	E2F6
VIM	VIM
PRH1	PRH1
CACNA1A	CACNA1A
COL1A1	COL1A1
C11orf71	C11orf71
TRNP1	TRNP1
CCDC39	CCDC39
AZIN1	AZIN1
LRIT3	LRIT3
SVEP1	SVEP1
FADS2	FADS2
DNAH3	DNAH3
MAST3	MAST3
OAS2	OAS2
LRRC6	LRRC6
CCDC97	CCDC97
TVP23C-CDRT4	TVP23C-CDRT4
NECAP2	NECAP2
NDUFA2	NDUFA2
FBXO4	FBXO4
ONECUT3	ONECUT3
FGFRL1	FGFRL1
CNTN5	CNTN5
ERP44	ERP44
ZDHHC15	ZDHHC15
HTR3C	HTR3C
BRAT1	BRAT1
SUMF1	SUMF1
AASDH	AASDH
PRSS48	PRSS48
ANXA13	ANXA13
ABHD12	ABHD12
PSPC1	PSPC1
RBM23	RBM23
CXCL2	CXCL2
C10orf113	C10orf113
CENPW	CENPW
SH2B3	SH2B3
TRIM17	TRIM17
SLC23A2	SLC23A2
CSF2	CSF2
IPO5	IPO5
ARMC7	ARMC7
C5orf58	C5orf58
CUEDC1	CUEDC1
SSBP3	SSBP3
CCDC7	CCDC7
SUPT6H	SUPT6H
CST2	CST2
CLNS1A	CLNS1A
SPP1	SPP1
WARS	WARS
TMEM51	TMEM51
FAM184B	FAM184B
ACTR3B	ACTR3B
FAM161B	FAM161B
YBEY	YBEY
CCDC22	CCDC22
FRMD8	FRMD8
SNRPD1	SNRPD1
FGL1	FGL1
LAMB3	LAMB3
PMCH	PMCH
DNAJB8	DNAJB8
KANK1	KANK1
JAKMIP3	JAKMIP3
TF	TF
SLC6A15	SLC6A15
TFE3	TFE3
ENPP4	ENPP4
BRDT	BRDT
PRG4	PRG4
PSMD9	PSMD9
KCNAB2	KCNAB2
OPRD1	OPRD1
SPPL3	SPPL3
ACSF3	ACSF3
GOLGA6L9	GOLGA6L9
IQCG	IQCG
OTOG	OTOG
SLC36A2	SLC36A2
HERC5	HERC5
CDC42EP3	CDC42EP3
WWP2	WWP2
LSM14B	LSM14B
TOR4A	TOR4A
TOMM20	TOMM20
EEPD1	EEPD1
PLXNA2	PLXNA2
CASP3	CASP3
OR5H14	OR5H14
NMRAL1	NMRAL1
CROCC2	CROCC2
DHX35	DHX35
TSR1	TSR1
NKX2-5	NKX2-5
GMCL1	GMCL1
CATSPER3	CATSPER3
C9orf129	C9orf129
LDB1	LDB1
AL031281.2	AL031281.2
EPM2AIP1	EPM2AIP1
KHK	KHK
MAP3K14	MAP3K14
TEX13D	TEX13D
TJP2	TJP2
TCOF1	TCOF1
ZSCAN1	ZSCAN1
PPM1F	PPM1F
N4BP2L1	N4BP2L1
FER1L5	FER1L5
BAIAP2L1	BAIAP2L1
TMEM47	TMEM47
C1QTNF1	C1QTNF1
FBXW4	FBXW4
GRIN2A	GRIN2A
SMIM14	SMIM14
C9orf43	C9orf43
RALBP1	RALBP1
ADPRM	ADPRM
TMEM239	TMEM239
PDZD3	PDZD3
GLB1	GLB1
CRHBP	CRHBP
USP22	USP22
DDX31	DDX31
CD2	CD2
LEO1	LEO1
ANKRD18A	ANKRD18A
SHROOM1	SHROOM1
ARFIP2	ARFIP2
RASAL1	RASAL1
MYDGF	MYDGF
KIF15	KIF15
SLURP2	SLURP2
SHOC2	SHOC2
RNF166	RNF166
KCNMB1	KCNMB1
PEAK1	PEAK1
EPHA4	EPHA4
HNRNPL	HNRNPL
KLF16	KLF16
UNC93A	UNC93A
TMEM222	TMEM222
FGFBP3	FGFBP3
ZNF836	ZNF836
HMGN3	HMGN3
CLEC4A	CLEC4A
RDH8	RDH8
MC5R	MC5R
PRMT2	PRMT2
FSTL1	FSTL1
ITK	ITK
ADCY2	ADCY2
TNFSF4	TNFSF4
KRT222	KRT222
HMCES	HMCES
ETS2	ETS2
PPP1R1B	PPP1R1B
PLEKHG4	PLEKHG4
BRPF1	BRPF1
PIP4K2A	PIP4K2A
CLEC10A	CLEC10A
KIF13B	KIF13B
ANKRD13C	ANKRD13C
ADGRG1	ADGRG1
PTGES3	PTGES3
ACOT13	ACOT13
EPHA10	EPHA10
DKK4	DKK4
ZNF774	ZNF774
WDR37	WDR37
DTX4	DTX4
TIMM29	TIMM29
LRRC74B	LRRC74B
ALPP	ALPP
COX19	COX19
CEP126	CEP126
CYP3A4	CYP3A4
MBD5	MBD5
NLRP5	NLRP5
DNAJA4	DNAJA4
VWA2	VWA2
CLCA2	CLCA2
SLC30A3	SLC30A3
SEM1	SEM1
TSHZ1	TSHZ1
CLCNKB	CLCNKB
HKDC1	HKDC1
FAM110B	FAM110B
LRRC37B	LRRC37B
SNX1	SNX1
RYK	RYK
SRSF11	SRSF11
EBF3	EBF3
COQ9	COQ9
AC092042.3	AC092042.3
LHCGR	LHCGR
PUDP	PUDP
SLC35G5	SLC35G5
BTG1	BTG1
CD247	CD247
TTLL3	TTLL3
MBTD1	MBTD1
FBP1	FBP1
CHRNA10	CHRNA10
NSRP1	NSRP1
TYW1B	TYW1B
ELAVL4	ELAVL4
RFX7	RFX7
TUBGCP2	TUBGCP2
SLC5A9	SLC5A9
ALOX12	ALOX12
TRIM50	TRIM50
NRBP1	NRBP1
PHLDB1	PHLDB1
FCGR2A	FCGR2A
CDV3	CDV3
SLC25A47	SLC25A47
ADCY6	ADCY6
USPL1	USPL1
SRI	SRI
CADPS2	CADPS2
PCYT1B	PCYT1B
NSUN3	NSUN3
RPGR	RPGR
GPALPP1	GPALPP1
ZNF442	ZNF442
THSD8	THSD8
CRABP1	CRABP1
NUAK2	NUAK2
EME2	EME2
TMEM45A	TMEM45A
RAB19	RAB19
CFAP57	CFAP57
POU4F1	POU4F1
PLXNA4	PLXNA4
ABHD8	ABHD8
WDR36	WDR36
DDX56	DDX56
EOGT	EOGT
LCORL	LCORL
DPH2	DPH2
EID2B	EID2B
PHYHIPL	PHYHIPL
ZNF233	ZNF233
BOK	BOK
TXNDC2	TXNDC2
PELO	PELO
SF1	SF1
PI15	PI15
LRRFIP1	LRRFIP1
FAM133A	FAM133A
CDKL4	CDKL4
LYSMD1	LYSMD1
OR2A25	OR2A25
PTPRC	PTPRC
FAM19A3	FAM19A3
IFT80	IFT80
IFIH1	IFIH1
NUP35	NUP35
CREB3L1	CREB3L1
CMKLR1	CMKLR1
PCLAF	PCLAF
GGH	GGH
ST18	ST18
SETD9	SETD9
SPI1	SPI1
LRFN3	LRFN3
PIEZO1	PIEZO1
TCAF2	TCAF2
EIF3E	EIF3E
FRRS1L	FRRS1L
GPR171	GPR171
ZMYM5	ZMYM5
PCNX3	PCNX3
MED6	MED6
ZNF692	ZNF692
CTNNBL1	CTNNBL1
LIMS1	LIMS1
AKT2	AKT2
PXT1	PXT1
HS3ST6	HS3ST6
RPL13	RPL13
ICE2	ICE2
RAB35	RAB35
XK	XK
PRUNE1	PRUNE1
MPG	MPG
MMADHC	MMADHC
ZSCAN26	ZSCAN26
CAMLG	CAMLG
NCR2	NCR2
GPAM	GPAM
RNF168	RNF168
BHMT2	BHMT2
KRT20	KRT20
FBXO28	FBXO28
GIPC3	GIPC3
HLA-DMB	HLA-DMB
ANK2	ANK2
PITX1	PITX1
RTL9	RTL9
TAF1L	TAF1L
FNDC8	FNDC8
AHCYL2	AHCYL2
NR5A1	NR5A1
MRPL15	MRPL15
NCOA4	NCOA4
RPL31	RPL31
LEKR1	LEKR1
MAN1B1	MAN1B1
OLFM3	OLFM3
ZDHHC9	ZDHHC9
FGD1	FGD1
NEURL2	NEURL2
NXPH1	NXPH1
RTRAF	RTRAF
RAPGEF3	RAPGEF3
WDR31	WDR31
EP400	EP400
CCDC178	CCDC178
GPN3	GPN3
PRMT8	PRMT8
TMPRSS11E	TMPRSS11E
COL7A1	COL7A1
WFDC12	WFDC12
NDUFAF8	NDUFAF8
MYC	MYC
ESRP1	ESRP1
OGT	OGT
PCDHGB6	PCDHGB6
GPR183	GPR183
NPIPB11	NPIPB11
AC068790.8	AC068790.8
SIAE	SIAE
SNX15	SNX15
CLTB	CLTB
CCDC107	CCDC107
ZNF426	ZNF426
SURF2	SURF2
CDC27	CDC27
OTUD1	OTUD1
NRDC	NRDC
PNPLA5	PNPLA5
FNDC3A	FNDC3A
CPXM1	CPXM1
CLOCK	CLOCK
BCL2L11	BCL2L11
TXNDC5	TXNDC5
CA3	CA3
ADAMTS10	ADAMTS10
HEATR5A	HEATR5A
A2M	A2M
RNF130	RNF130
L3MBTL2	L3MBTL2
CARD8	CARD8
IER2	IER2
FBXL13	FBXL13
LYPD8	LYPD8
KCTD12	KCTD12
KIAA1147	KIAA1147
HS3ST1	HS3ST1
B4GALT1	B4GALT1
DDAH1	DDAH1
SAYSD1	SAYSD1
TAF8	TAF8
OXSM	OXSM
CDKN3	CDKN3
TIMM21	TIMM21
HAUS3	HAUS3
GH2	GH2
RIBC1	RIBC1
ARHGEF7	ARHGEF7
TRIM67	TRIM67
C1orf174	C1orf174
FAM187B	FAM187B
RPL3	RPL3
HERC3	HERC3
BCAS1	BCAS1
DMRTC2	DMRTC2
LSM14A	LSM14A
TMEM218	TMEM218
LTN1	LTN1
DOK5	DOK5
FGF8	FGF8
LAX1	LAX1
HK3	HK3
PALM2	PALM2
OCRL	OCRL
NBPF1	NBPF1
DNPH1	DNPH1
TM2D1	TM2D1
FAAH	FAAH
EMC10	EMC10
C1orf115	C1orf115
RASD2	RASD2
SETD1A	SETD1A
PQLC1	PQLC1
SPEF2	SPEF2
PRRT4	PRRT4
IL1RL1	IL1RL1
LTV1	LTV1
EXOC7	EXOC7
LPIN1	LPIN1
ZBTB32	ZBTB32
PVR	PVR
SLC25A40	SLC25A40
DNALI1	DNALI1
RFNG	RFNG
CRLF1	CRLF1
BBS10	BBS10
ACP2	ACP2
KLK1	KLK1
CPLANE1	CPLANE1
MAOA	MAOA
OMG	OMG
FCGBP	FCGBP
C1orf116	C1orf116
MRPL37	MRPL37
ABRAXAS2	ABRAXAS2
PCSK5	PCSK5
TCERG1L	TCERG1L
EDN1	EDN1
CASC10	CASC10
VSIG8	VSIG8
HSD3B1	HSD3B1
ASAP3	ASAP3
PIM3	PIM3
OGFRL1	OGFRL1
LMTK2	LMTK2
COX8C	COX8C
BCL6B	BCL6B
HSD3B2	HSD3B2
ADAMTS7	ADAMTS7
NDFIP1	NDFIP1
SERP1	SERP1
SLC25A32	SLC25A32
AP3M2	AP3M2
RNF185	RNF185
TBCA	TBCA
TMEM186	TMEM186
ITM2B	ITM2B
IL32	IL32
SMURF2	SMURF2
OSBPL3	OSBPL3
MUC12	MUC12
CYP2A7	CYP2A7
CDYL2	CDYL2
HIST1H2BI	HIST1H2BI
POU5F2	POU5F2
FBN1	FBN1
PRRG4	PRRG4
MTFMT	MTFMT
ST8SIA2	ST8SIA2
TMEM89	TMEM89
REST	REST
FBXO11	FBXO11
C2orf81	C2orf81
AC138811.2	AC138811.2
ARHGEF18	ARHGEF18
TMCO6	TMCO6
MCM3	MCM3
BZW1	BZW1
TET1	TET1
HHLA1	HHLA1
PPIC	PPIC
UBTF	UBTF
MTERF3	MTERF3
APOBEC4	APOBEC4
COLEC10	COLEC10
NPM1	NPM1
TMEM35A	TMEM35A
BCAT1	BCAT1
B4GALNT1	B4GALNT1
WFDC6	WFDC6
OR9A2	OR9A2
ZNF843	ZNF843
C1orf210	C1orf210
TRAPPC6B	TRAPPC6B
TIMM13	TIMM13
ACTL9	ACTL9
GSK3A	GSK3A
EPHX2	EPHX2
EXOG	EXOG
COPS4	COPS4
SH3TC1	SH3TC1
UCP1	UCP1
TMEM134	TMEM134
ZNF337	ZNF337
WDR73	WDR73
PNMA8C	PNMA8C
B3GNT2	B3GNT2
PSMA1	PSMA1
CHMP2B	CHMP2B
SPRN	SPRN
TTC30A	TTC30A
RIPOR1	RIPOR1
STAG2	STAG2
CHCHD2	CHCHD2
NCR3LG1	NCR3LG1
CSPG5	CSPG5
TIFA	TIFA
ELOVL7	ELOVL7
CHMP7	CHMP7
KRTAP4-8	KRTAP4-8
OR5A2	OR5A2
CEACAM7	CEACAM7
SCGB3A1	SCGB3A1
OSBPL1A	OSBPL1A
NIPAL3	NIPAL3
PSME4	PSME4
BIRC5	BIRC5
AC005726.1	AC005726.1
TEX261	TEX261
DHX9	DHX9
MYO7B	MYO7B
SEMA6C	SEMA6C
ZKSCAN5	ZKSCAN5
EDA	EDA
GOLGA8S	GOLGA8S
FMO4	FMO4
PLPP3	PLPP3
VPS50	VPS50
MRPS18B	MRPS18B
NPHP3	NPHP3
AC005358.1	AC005358.1
NSG1	NSG1
GRWD1	GRWD1
AFP	AFP
LYSMD4	LYSMD4
RDH10	RDH10
PDS5A	PDS5A
UACA	UACA
ABCD1	ABCD1
GCSAML-AS1	GCSAML-AS1
URGCP	URGCP
TPK1	TPK1
BTN3A3	BTN3A3
ANK3	ANK3
ARMS2	ARMS2
OR7A17	OR7A17
TRABD	TRABD
CNR2	CNR2
PAWR	PAWR
SEC11C	SEC11C
FAM83E	FAM83E
STK32A	STK32A
RARS2	RARS2
SPDYE5	SPDYE5
H2AFY2	H2AFY2
TSTA3	TSTA3
RAB12	RAB12
SPATA5L1	SPATA5L1
C6orf106	C6orf106
KRT16	KRT16
UBL3	UBL3
USP1	USP1
METTL26	METTL26
FLG2	FLG2
CCNB2	CCNB2
ATP13A2	ATP13A2
ARL14EPL	ARL14EPL
NRGN	NRGN
NEK6	NEK6
FYTTD1	FYTTD1
ATF2	ATF2
KCNE2	KCNE2
CGAS	CGAS
TFAP2B	TFAP2B
VTI1B	VTI1B
OR51B4	OR51B4
SAT2	SAT2
SLC26A7	SLC26A7
GLMP	GLMP
GJC3	GJC3
SYT3	SYT3
RIMBP3C	RIMBP3C
STAG3	STAG3
SETD6	SETD6
FAM83D	FAM83D
HCFC1	HCFC1
ZG16B	ZG16B
LRRC75B	LRRC75B
TRAM2	TRAM2
STRIP2	STRIP2
TNFRSF13C	TNFRSF13C
CEP41	CEP41
INTS7	INTS7
TUBB1	TUBB1
TGS1	TGS1
COPZ1	COPZ1
LPCAT1	LPCAT1
USF2	USF2
AKR1A1	AKR1A1
ECM2	ECM2
DSPP	DSPP
RNF103	RNF103
DCAKD	DCAKD
ARFGEF3	ARFGEF3
PRRX2	PRRX2
IFNL3	IFNL3
ASB13	ASB13
KCNH5	KCNH5
HBB	HBB
ATG4D	ATG4D
MISP	MISP
CC2D2A	CC2D2A
ARSH	ARSH
NADK2	NADK2
PAPSS2	PAPSS2
CHRNA2	CHRNA2
FAM153B	FAM153B
BORA	BORA
BMP5	BMP5
MYO1G	MYO1G
TAS2R3	TAS2R3
ERAP2	ERAP2
TRPC4	TRPC4
MTHFD1	MTHFD1
TMEM45B	TMEM45B
USF3	USF3
FAM149A	FAM149A
LUZP4	LUZP4
CAV3	CAV3
TNFRSF10B	TNFRSF10B
CUX1	CUX1
PDE3A	PDE3A
SVOPL	SVOPL
ZNF286A	ZNF286A
NFS1	NFS1
ZNF10	ZNF10
B3GAT2	B3GAT2
KLK12	KLK12
ETFRF1	ETFRF1
KATNAL1	KATNAL1
SLC22A4	SLC22A4
PRKN	PRKN
FCGR1B	FCGR1B
HAO2	HAO2
ZNF461	ZNF461
CLDN18	CLDN18
UQCC1	UQCC1
ICAM1	ICAM1
TRIM9	TRIM9
TMEM156	TMEM156
ESPNL	ESPNL
SEPT9	SEPT9
CNST	CNST
ATP8A2	ATP8A2
NADSYN1	NADSYN1
SEPHS1	SEPHS1
RALB	RALB
EFCAB6	EFCAB6
OR1Q1	OR1Q1
KITLG	KITLG
ERGIC3	ERGIC3
CCNI	CCNI
MT-CO1	MT-CO1
ZNF749	ZNF749
RNF151	RNF151
HDC	HDC
EEF1E1	EEF1E1
NELFCD	NELFCD
DLGAP1	DLGAP1
ZNF700	ZNF700
NGFR	NGFR
BROX	BROX
SPATA21	SPATA21
CTRB1	CTRB1
C12orf40	C12orf40
GPI	GPI
PROM2	PROM2
FBXW7	FBXW7
HSP90AA1	HSP90AA1
COX6B2	COX6B2
POLD2	POLD2
SLC4A1	SLC4A1
FAM186A	FAM186A
PGS1	PGS1
FAM161A	FAM161A
RBM45	RBM45
ZBTB39	ZBTB39
GNL3L	GNL3L
AGL	AGL
EAPP	EAPP
SIK3	SIK3
DYRK1A	DYRK1A
CFAP97	CFAP97
RAPGEF4	RAPGEF4
OR3A3	OR3A3
NFKBIE	NFKBIE
SMYD3	SMYD3
CHST2	CHST2
TTI2	TTI2
SOX6	SOX6
PDLIM3	PDLIM3
VPS26B	VPS26B
TRIM73	TRIM73
CRTC1	CRTC1
GABRA4	GABRA4
RGS7	RGS7
CAMK2N1	CAMK2N1
ATP6V1E2	ATP6V1E2
TAS2R5	TAS2R5
MAGEA6	MAGEA6
DNAJC28	DNAJC28
ARHGEF39	ARHGEF39
