	tsp_mRNA
DAZAP1	DAZAP1
FBXW5	FBXW5
ITIH3	ITIH3
LCE2D	LCE2D
NAA11	NAA11
THEM4	THEM4
AL035588.1	AL035588.1
BOLA3	BOLA3
INMT	INMT
PROX2	PROX2
VAMP2	VAMP2
CBFA2T3	CBFA2T3
PRR20E	PRR20E
MUC6	MUC6
SPAG11B	SPAG11B
SENP7	SENP7
NWD2	NWD2
ANTXR1	ANTXR1
ATG9A	ATG9A
UXS1	UXS1
CHID1	CHID1
SDHB	SDHB
TLNRD1	TLNRD1
HLA-DRA	HLA-DRA
RNF146	RNF146
FGF21	FGF21
POU2F3	POU2F3
PANK3	PANK3
GNL3	GNL3
SPDYE2	SPDYE2
TNFAIP8L3	TNFAIP8L3
MAPKAPK5	MAPKAPK5
SLAMF8	SLAMF8
IP6K3	IP6K3
KIFC3	KIFC3
DGAT1	DGAT1
PHKG2	PHKG2
SPINK8	SPINK8
GNB1	GNB1
PROSER1	PROSER1
SLITRK6	SLITRK6
HIST1H2AJ	HIST1H2AJ
MUC1	MUC1
HYKK	HYKK
DENND4B	DENND4B
NLGN1	NLGN1
FOXA2	FOXA2
FAT2	FAT2
NOXA1	NOXA1
C6orf48	C6orf48
SLITRK3	SLITRK3
PRG2	PRG2
C20orf202	C20orf202
SPHK1	SPHK1
DDX51	DDX51
FGFR1	FGFR1
ZNF267	ZNF267
KIAA0556	KIAA0556
GPS1	GPS1
NPPB	NPPB
MAGEB6B	MAGEB6B
NT5C	NT5C
GFRA2	GFRA2
RELT	RELT
RYR1	RYR1
USE1	USE1
SLC22A17	SLC22A17
MAP6D1	MAP6D1
FAT4	FAT4
CDH9	CDH9
CBL	CBL
ZNF521	ZNF521
TXNRD1	TXNRD1
TSTA3	TSTA3
ZNF776	ZNF776
WDR43	WDR43
RAF1	RAF1
SCN1A	SCN1A
PIK3C3	PIK3C3
FAM8A1	FAM8A1
HNRNPUL2	HNRNPUL2
HLA-B	HLA-B
GRM3	GRM3
FRY	FRY
GPSM3	GPSM3
CDK3	CDK3
MIF4GD	MIF4GD
STC1	STC1
LPAR5	LPAR5
ASRGL1	ASRGL1
OXGR1	OXGR1
SRBD1	SRBD1
IQCN	IQCN
RNF7	RNF7
FOXD4L3	FOXD4L3
SIRT4	SIRT4
CACNG8	CACNG8
SLC28A2	SLC28A2
HMGCR	HMGCR
SCG2	SCG2
AC006449.1	AC006449.1
PPM1F	PPM1F
CABP7	CABP7
ITGA5	ITGA5
NKAP	NKAP
FAM229B	FAM229B
SFTPC	SFTPC
ATP8B3	ATP8B3
LEXM	LEXM
MIOX	MIOX
SSU72P4	SSU72P4
LCE1E	LCE1E
AC131097.2	AC131097.2
AC005324.3	AC005324.3
RB1	RB1
UQCRC2	UQCRC2
TPI1	TPI1
NHLH2	NHLH2
CGRRF1	CGRRF1
FZD9	FZD9
PRXL2B	PRXL2B
NARS2	NARS2
SH2D6	SH2D6
EMC8	EMC8
RPS16	RPS16
AIMP2	AIMP2
CENPF	CENPF
UGDH	UGDH
TSPAN10	TSPAN10
FSIP1	FSIP1
GNB1L	GNB1L
ADCY7	ADCY7
SNX18	SNX18
PTGES2	PTGES2
AC005358.1	AC005358.1
PLCL2	PLCL2
DMKN	DMKN
ATP8B2	ATP8B2
AVP	AVP
AL049629.2	AL049629.2
TMEM206	TMEM206
SRRM5	SRRM5
CYP2D6	CYP2D6
DLC1	DLC1
STK32A	STK32A
BOLL	BOLL
ATP5MC3	ATP5MC3
RSPH14	RSPH14
OR52R1	OR52R1
MICU2	MICU2
GCNA	GCNA
FIP1L1	FIP1L1
OR10A6	OR10A6
GOLGA8A	GOLGA8A
HIST2H4B	HIST2H4B
PTBP3	PTBP3
ZNF428	ZNF428
GMPPA	GMPPA
SDCBP2	SDCBP2
FKBP15	FKBP15
LIN28A	LIN28A
PROKR2	PROKR2
ANKMY1	ANKMY1
SHISA4	SHISA4
MAP3K20	MAP3K20
REXO4	REXO4
UTP6	UTP6
NPHS2	NPHS2
MYL1	MYL1
UROC1	UROC1
ATP6V0A4	ATP6V0A4
STK38L	STK38L
TTC36	TTC36
NR0B2	NR0B2
RRAGB	RRAGB
IQCF2	IQCF2
TPTEP2-CSNK1E	TPTEP2-CSNK1E
SLC25A23	SLC25A23
TNFRSF11B	TNFRSF11B
TRABD	TRABD
TMED7	TMED7
TPCN2	TPCN2
RAB4A	RAB4A
PCDHB2	PCDHB2
RNF151	RNF151
BATF2	BATF2
INSR	INSR
BBOF1	BBOF1
UNC13A	UNC13A
OR51B4	OR51B4
KLHL38	KLHL38
TK1	TK1
TNFAIP3	TNFAIP3
CDH12	CDH12
MON1A	MON1A
TNFAIP1	TNFAIP1
TSSC4	TSSC4
COL10A1	COL10A1
PPM1B	PPM1B
LRP1B	LRP1B
HEMK1	HEMK1
HLF	HLF
HBP1	HBP1
CRCT1	CRCT1
TCEANC2	TCEANC2
RPL15	RPL15
LIPM	LIPM
CHCHD2	CHCHD2
TKTL1	TKTL1
ASAP2	ASAP2
ADRA2A	ADRA2A
LRRTM1	LRRTM1
TRPV5	TRPV5
TMEM258	TMEM258
TRPM6	TRPM6
KY	KY
POU2AF1	POU2AF1
UPF3A	UPF3A
PRMT7	PRMT7
TBC1D3	TBC1D3
FCRLA	FCRLA
SRI	SRI
NPIPB11	NPIPB11
ATG4C	ATG4C
PTGS1	PTGS1
ADRA1A	ADRA1A
DELE1	DELE1
THADA	THADA
FSTL3	FSTL3
CD1D	CD1D
GNPAT	GNPAT
UTP18	UTP18
SLC51B	SLC51B
PAPSS1	PAPSS1
PHETA2	PHETA2
ME3	ME3
COX8C	COX8C
FAM20A	FAM20A
HMGN4	HMGN4
HIST1H1E	HIST1H1E
HYOU1	HYOU1
CPA3	CPA3
INTS11	INTS11
FANCB	FANCB
MAS1L	MAS1L
SERP1	SERP1
SIPA1L3	SIPA1L3
PRSS41	PRSS41
HSP90AB1	HSP90AB1
HENMT1	HENMT1
BMS1	BMS1
TMEM14A	TMEM14A
LRG1	LRG1
RBMXL1	RBMXL1
CES3	CES3
ILDR2	ILDR2
TAF11L13	TAF11L13
ELF2	ELF2
APOH	APOH
LMO3	LMO3
ZNF74	ZNF74
XPO5	XPO5
C2CD6	C2CD6
AL049840.1	AL049840.1
TOLLIP	TOLLIP
OLR1	OLR1
CHPT1	CHPT1
LRRIQ3	LRRIQ3
CFAP65	CFAP65
BSCL2	BSCL2
AC005702.1	AC005702.1
NCR3LG1	NCR3LG1
AC126283.2	AC126283.2
MORC3	MORC3
MBD1	MBD1
HDAC6	HDAC6
C4BPA	C4BPA
KIF22	KIF22
RFX7	RFX7
ZHX1	ZHX1
GGTLC2	GGTLC2
TSTD3	TSTD3
TEX22	TEX22
C11orf71	C11orf71
PXMP4	PXMP4
CARM1	CARM1
LCE3D	LCE3D
OBP2B	OBP2B
AL021997.3	AL021997.3
SPINDOC	SPINDOC
SOD1	SOD1
USP22	USP22
TLX2	TLX2
CASZ1	CASZ1
MAGT1	MAGT1
FCRL3	FCRL3
MIPEP	MIPEP
WTAP	WTAP
REV3L	REV3L
KIAA0930	KIAA0930
SSR3	SSR3
ZNF98	ZNF98
RND2	RND2
FBXO42	FBXO42
PRKAG3	PRKAG3
RAPGEFL1	RAPGEFL1
CDHR1	CDHR1
TRIP10	TRIP10
ALDH7A1	ALDH7A1
MYOCOS	MYOCOS
MUC16	MUC16
UBE2QL1	UBE2QL1
UNK	UNK
DCP2	DCP2
FUT11	FUT11
WFDC13	WFDC13
RGN	RGN
ABHD14A-ACY1	ABHD14A-ACY1
CABP4	CABP4
TRIM49D2	TRIM49D2
LRRC8C	LRRC8C
HUWE1	HUWE1
NCAN	NCAN
FUCA1	FUCA1
AC138696.1	AC138696.1
RHPN2	RHPN2
FGF1	FGF1
SDC2	SDC2
MINK1	MINK1
ZNF408	ZNF408
C2orf73	C2orf73
OR4K13	OR4K13
HNRNPM	HNRNPM
SCIN	SCIN
HNRNPCL2	HNRNPCL2
BIN1	BIN1
BGN	BGN
RPS28	RPS28
ARMC3	ARMC3
TXNDC15	TXNDC15
FANCF	FANCF
LPGAT1	LPGAT1
ARPC2	ARPC2
MAMDC2	MAMDC2
CNEP1R1	CNEP1R1
LILRA6	LILRA6
IL1R2	IL1R2
SLC46A3	SLC46A3
TRIM39-RPP21	TRIM39-RPP21
AF131215.5	AF131215.5
EEF1AKMT1	EEF1AKMT1
MOCS3	MOCS3
RIDA	RIDA
TMEM266	TMEM266
B3GALT5	B3GALT5
RDH8	RDH8
PRR18	PRR18
FAM129A	FAM129A
VILL	VILL
SRRM4	SRRM4
GNAT3	GNAT3
VLDLR	VLDLR
BCL10	BCL10
GLT8D2	GLT8D2
MYO5C	MYO5C
TRAPPC12	TRAPPC12
LRRC34	LRRC34
SLC17A7	SLC17A7
SLC22A13	SLC22A13
KBTBD8	KBTBD8
PRAME	PRAME
CDR2L	CDR2L
MGME1	MGME1
ACKR4	ACKR4
USP6NL	USP6NL
WDR5B	WDR5B
NEK10	NEK10
COP1	COP1
STX11	STX11
TRIM23	TRIM23
ETV1	ETV1
SPP2	SPP2
ARMCX2	ARMCX2
HHLA1	HHLA1
PLSCR5	PLSCR5
PSG3	PSG3
BORCS8-MEF2B	BORCS8-MEF2B
NEK4	NEK4
MBLAC1	MBLAC1
CLEC2D	CLEC2D
PKN2	PKN2
KRT34	KRT34
FAM162A	FAM162A
DPEP2	DPEP2
HECTD1	HECTD1
ESCO2	ESCO2
PLEKHG5	PLEKHG5
TRIM49	TRIM49
MTRNR2L1	MTRNR2L1
DDX18	DDX18
CCDC113	CCDC113
AC109583.1	AC109583.1
C8orf88	C8orf88
ZNF646	ZNF646
PRR16	PRR16
FOXC1	FOXC1
NANOGNB	NANOGNB
FAM162B	FAM162B
NDUFB8	NDUFB8
ZNF254	ZNF254
LRRC61	LRRC61
PIGL	PIGL
MAF	MAF
CYBB	CYBB
SPINT1	SPINT1
SASH1	SASH1
NRN1	NRN1
METTL23	METTL23
ZNF184	ZNF184
TMEM54	TMEM54
ARHGEF33	ARHGEF33
C1orf232	C1orf232
HPS3	HPS3
KIR3DL2	KIR3DL2
CXorf40B	CXorf40B
ERICH5	ERICH5
INSYN2B	INSYN2B
PAMR1	PAMR1
F13A1	F13A1
BPIFB1	BPIFB1
ARIH1	ARIH1
BRI3	BRI3
B4GALT1	B4GALT1
IFNA10	IFNA10
SLC35G2	SLC35G2
XRRA1	XRRA1
PILRB	PILRB
DOK2	DOK2
MCM10	MCM10
ERO1A	ERO1A
WDSUB1	WDSUB1
ALDH1A1	ALDH1A1
TMEM61	TMEM61
SQOR	SQOR
ATG101	ATG101
TIMM44	TIMM44
PRORY	PRORY
TNFRSF10D	TNFRSF10D
EMX1	EMX1
MOGS	MOGS
ANKRD50	ANKRD50
CHCHD1	CHCHD1
EAF2	EAF2
MFRP	MFRP
ERMN	ERMN
TPK1	TPK1
BLOC1S1	BLOC1S1
HSFX3	HSFX3
ZMYND19	ZMYND19
GRIA1	GRIA1
TMEM132D	TMEM132D
GCOM1	GCOM1
USB1	USB1
CNTNAP3C	CNTNAP3C
IRF7	IRF7
DAZ2	DAZ2
HDAC7	HDAC7
JAK1	JAK1
GUCY1A2	GUCY1A2
FAM111A	FAM111A
OR3A1	OR3A1
BCAS2	BCAS2
SLFN12L	SLFN12L
OCEL1	OCEL1
HMX2	HMX2
L34079.1	L34079.1
CAV2	CAV2
JHY	JHY
DEFB4A	DEFB4A
PBDC1	PBDC1
C3orf70	C3orf70
KMT2C	KMT2C
FARP2	FARP2
PRR23A	PRR23A
RCC2	RCC2
MOV10L1	MOV10L1
ZNF594	ZNF594
MLLT3	MLLT3
ADIPOQ	ADIPOQ
RAPGEF4	RAPGEF4
KRT39	KRT39
SLC7A11	SLC7A11
TEN1	TEN1
FBXW8	FBXW8
GPSM2	GPSM2
RANBP1	RANBP1
SPIRE1	SPIRE1
PRRT1	PRRT1
AC099489.1	AC099489.1
RUVBL1	RUVBL1
YIPF6	YIPF6
SERPINB9	SERPINB9
TBC1D20	TBC1D20
MMP7	MMP7
SMARCD3	SMARCD3
SOX17	SOX17
PRR14	PRR14
PRSS3	PRSS3
PLA2G7	PLA2G7
TPR	TPR
CARMIL3	CARMIL3
FRMPD2	FRMPD2
GTF2H4	GTF2H4
INTS6L	INTS6L
HRG	HRG
YIPF4	YIPF4
PLEKHA1	PLEKHA1
GOLGA4	GOLGA4
PSIP1	PSIP1
CYP2C9	CYP2C9
TLN1	TLN1
SCML1	SCML1
SETD9	SETD9
CCS	CCS
NT5C1B	NT5C1B
SRP72	SRP72
VEZF1	VEZF1
RNF19A	RNF19A
APOF	APOF
KRTAP5-2	KRTAP5-2
GALNT6	GALNT6
CEBPB	CEBPB
LCN12	LCN12
PPA1	PPA1
RPL26	RPL26
CHCHD6	CHCHD6
NXPH1	NXPH1
STOX1	STOX1
AC010616.1	AC010616.1
ABCE1	ABCE1
MSN	MSN
CDC7	CDC7
TROAP	TROAP
TPRX1	TPRX1
TOX	TOX
TBCEL	TBCEL
PREP	PREP
MKLN1	MKLN1
PHYKPL	PHYKPL
XPR1	XPR1
TIE1	TIE1
COL4A2	COL4A2
MTPAP	MTPAP
LY6E	LY6E
BRD8	BRD8
CLTB	CLTB
ZBTB4	ZBTB4
F8A3	F8A3
ZNF232	ZNF232
DUOX2	DUOX2
TEX36	TEX36
SART1	SART1
FOXD2	FOXD2
SPATA33	SPATA33
METTL18	METTL18
GP2	GP2
HPCAL1	HPCAL1
CLCN1	CLCN1
KCNG3	KCNG3
SEPT12	SEPT12
PTPN9	PTPN9
NEDD4L	NEDD4L
BPIFB3	BPIFB3
KRTAP19-3	KRTAP19-3
PPP5D1	PPP5D1
ACTA1	ACTA1
AC134980.3	AC134980.3
ZPBP	ZPBP
C6orf52	C6orf52
HSPA1L	HSPA1L
CLDN24	CLDN24
HLA-E	HLA-E
SPTLC3	SPTLC3
BTN2A2	BTN2A2
LOXL4	LOXL4
CRYBB1	CRYBB1
SLC39A11	SLC39A11
MTUS1	MTUS1
ADAM12	ADAM12
UGT1A3	UGT1A3
ARAP2	ARAP2
SNTB1	SNTB1
MET	MET
SETD1B	SETD1B
MRPL40	MRPL40
DBN1	DBN1
SPAG11A	SPAG11A
PRR27	PRR27
CYP4F2	CYP4F2
COIL	COIL
LY6G6D	LY6G6D
KRTAP10-8	KRTAP10-8
KDM4B	KDM4B
UGT1A9	UGT1A9
SORT1	SORT1
PAGE3	PAGE3
CCDC24	CCDC24
CABLES1	CABLES1
ZNF700	ZNF700
RIBC1	RIBC1
BPI	BPI
KLRD1	KLRD1
POTEJ	POTEJ
NPY5R	NPY5R
PIAS2	PIAS2
PCGF3	PCGF3
DUPD1	DUPD1
PSPH	PSPH
PPM1M	PPM1M
ZNF35	ZNF35
RUNX1	RUNX1
PRKAA1	PRKAA1
B9D2	B9D2
RBM7	RBM7
C2orf76	C2orf76
MIF	MIF
MCM7	MCM7
IL18R1	IL18R1
TRAPPC4	TRAPPC4
PSMC1	PSMC1
WRNIP1	WRNIP1
NUP62	NUP62
P2RY6	P2RY6
IWS1	IWS1
ADAMTS5	ADAMTS5
SLC4A2	SLC4A2
ENPP3	ENPP3
TMEM248	TMEM248
LTO1	LTO1
USP34	USP34
CSTA	CSTA
MMP2	MMP2
GMPR	GMPR
YWHAQ	YWHAQ
SRD5A3	SRD5A3
LIMS1	LIMS1
MMS19	MMS19
URB2	URB2
SELENOP	SELENOP
UBE2L5	UBE2L5
SMAD4	SMAD4
PABPC4L	PABPC4L
ECHS1	ECHS1
TRAM1L1	TRAM1L1
ADGRA1	ADGRA1
HTRA3	HTRA3
NAALADL1	NAALADL1
OR13J1	OR13J1
ELOC	ELOC
DCXR	DCXR
TMEM50A	TMEM50A
RAB9B	RAB9B
CUBN	CUBN
SMARCAL1	SMARCAL1
FCHO2	FCHO2
TRIM2	TRIM2
AC119396.1	AC119396.1
AKAP3	AKAP3
SAPCD2	SAPCD2
GPM6B	GPM6B
CKMT1B	CKMT1B
PTPRG	PTPRG
FGF6	FGF6
CRYAA2	CRYAA2
ANKRD2	ANKRD2
ZNF668	ZNF668
CCDC130	CCDC130
MTHFD2L	MTHFD2L
MT1A	MT1A
BOLA1	BOLA1
MAP2K3	MAP2K3
MEX3B	MEX3B
ATF6	ATF6
TACC1	TACC1
TRAPPC3L	TRAPPC3L
WNT11	WNT11
SPC25	SPC25
ZSCAN5A	ZSCAN5A
PARD6B	PARD6B
IGFBP4	IGFBP4
AC068620.1	AC068620.1
PREX1	PREX1
EIF4H	EIF4H
BSND	BSND
NDUFA5	NDUFA5
TBL1X	TBL1X
CIAO1	CIAO1
MORC2	MORC2
BID	BID
CMBL	CMBL
SPDYE3	SPDYE3
MSGN1	MSGN1
GCG	GCG
AL772284.2	AL772284.2
TNNC2	TNNC2
OBP2A	OBP2A
CPXM1	CPXM1
KRTAP21-3	KRTAP21-3
SCGB1A1	SCGB1A1
XYLT1	XYLT1
Z82206.1	Z82206.1
PDE1A	PDE1A
BRICD5	BRICD5
ZBTB17	ZBTB17
MAGEB1	MAGEB1
MMS22L	MMS22L
ANO4	ANO4
KRTAP9-4	KRTAP9-4
TPD52L2	TPD52L2
DYNC2LI1	DYNC2LI1
PCMT1	PCMT1
COL4A5	COL4A5
NCOA4	NCOA4
EPPK1	EPPK1
ACTR10	ACTR10
TACSTD2	TACSTD2
MPG	MPG
ARID3B	ARID3B
LRTOMT	LRTOMT
CTH	CTH
OR7G3	OR7G3
TEX50	TEX50
PLPP3	PLPP3
AP1G2	AP1G2
ERBB2	ERBB2
IGFBP5	IGFBP5
INKA1	INKA1
ERICH2	ERICH2
PRM3	PRM3
KPNA4	KPNA4
HOXD1	HOXD1
ZNF280C	ZNF280C
AC011298.1	AC011298.1
DYM	DYM
DGLUCY	DGLUCY
SLC9C2	SLC9C2
ITPKC	ITPKC
MRTFB	MRTFB
FOXP4	FOXP4
HMX1	HMX1
CDC42	CDC42
DEFB119	DEFB119
C10orf82	C10orf82
FOXI3	FOXI3
CRABP2	CRABP2
ZNF398	ZNF398
CYTL1	CYTL1
DLX1	DLX1
NRDC	NRDC
TEX10	TEX10
TOGARAM2	TOGARAM2
PDPR	PDPR
CHRNA3	CHRNA3
TLE7	TLE7
FAM151B	FAM151B
IST1	IST1
TGIF2LX	TGIF2LX
AC026464.6	AC026464.6
TMEM181	TMEM181
CAVIN2	CAVIN2
RAB30	RAB30
ERH	ERH
CCL26	CCL26
SLFN14	SLFN14
TMEM175	TMEM175
DONSON	DONSON
OR5M9	OR5M9
TMEM134	TMEM134
EHD1	EHD1
IFT88	IFT88
NPIPA7	NPIPA7
GPHB5	GPHB5
INCENP	INCENP
COMMD9	COMMD9
MRPS7	MRPS7
VGLL1	VGLL1
RAB37	RAB37
EID3	EID3
TRIM66	TRIM66
ARRDC5	ARRDC5
ZBTB40	ZBTB40
PLSCR4	PLSCR4
GRAMD2B	GRAMD2B
APBA2	APBA2
REG3G	REG3G
SLC30A7	SLC30A7
ZKSCAN3	ZKSCAN3
POLR1B	POLR1B
PSMC3	PSMC3
SHROOM1	SHROOM1
PRDM11	PRDM11
C9orf78	C9orf78
ROM1	ROM1
CD28	CD28
UBA1	UBA1
ACOT2	ACOT2
ADGRL4	ADGRL4
CHEK1	CHEK1
ZDHHC9	ZDHHC9
POLE3	POLE3
TCEA3	TCEA3
ZNF524	ZNF524
FBXL20	FBXL20
CCNB3	CCNB3
COQ10A	COQ10A
BBX	BBX
LONRF1	LONRF1
PLA2G4B	PLA2G4B
CDK6	CDK6
ZNF277	ZNF277
EIF2AK3	EIF2AK3
AMMECR1	AMMECR1
IQCA1L	IQCA1L
DEFB130A	DEFB130A
MARCH9	MARCH9
FRAS1	FRAS1
AOAH	AOAH
C11orf86	C11orf86
TOR1AIP1	TOR1AIP1
RAB3IP	RAB3IP
PNO1	PNO1
CHTOP	CHTOP
PABPC1	PABPC1
ABCC8	ABCC8
NUFIP1	NUFIP1
EHF	EHF
FNDC8	FNDC8
RNF115	RNF115
OOSP3	OOSP3
RUSC1	RUSC1
ERMARD	ERMARD
TNS1	TNS1
FAM20B	FAM20B
AC013468.1	AC013468.1
NBPF1	NBPF1
AC084121.5	AC084121.5
WNK3	WNK3
CNNM2	CNNM2
ACACB	ACACB
LIMD2	LIMD2
LY75	LY75
SLC17A5	SLC17A5
CSRNP2	CSRNP2
MAML2	MAML2
TMEM89	TMEM89
DNAH5	DNAH5
CDH26	CDH26
GLYATL3	GLYATL3
RD3L	RD3L
SIAH3	SIAH3
MRPS14	MRPS14
KYAT3	KYAT3
PAOX	PAOX
ARL2	ARL2
PHC2	PHC2
PSD	PSD
EEF1E1	EEF1E1
TSGA10	TSGA10
AC018445.1	AC018445.1
SLC5A12	SLC5A12
ABCA5	ABCA5
OCM2	OCM2
AC008687.1	AC008687.1
BPIFB2	BPIFB2
AL031777.3	AL031777.3
ZFX	ZFX
PAIP2B	PAIP2B
BPY2C	BPY2C
LMO1	LMO1
KCNN1	KCNN1
RELN	RELN
ZNF2	ZNF2
NHLRC3	NHLRC3
CD1A	CD1A
EIF5AL1	EIF5AL1
XK	XK
WSCD2	WSCD2
VAPA	VAPA
CHD5	CHD5
IRS4	IRS4
DGKG	DGKG
MAGEA9B	MAGEA9B
LCMT2	LCMT2
GDI1	GDI1
ANKAR	ANKAR
SON	SON
FERMT2	FERMT2
GAS2L1	GAS2L1
ARPP21	ARPP21
MFNG	MFNG
SAC3D1	SAC3D1
CLIC2	CLIC2
MBOAT4	MBOAT4
PYDC1	PYDC1
CDCP2	CDCP2
COA7	COA7
RIN2	RIN2
TMED2	TMED2
ANKRD30A	ANKRD30A
TNRC18	TNRC18
TPMT	TPMT
SLC1A3	SLC1A3
CADM3	CADM3
PAX6	PAX6
RHEB	RHEB
KRT24	KRT24
TNK2	TNK2
EPHX4	EPHX4
CCM2	CCM2
HLA-DMA	HLA-DMA
UQCRQ	UQCRQ
NEU2	NEU2
UTP3	UTP3
TCTEX1D1	TCTEX1D1
CSF2	CSF2
RBBP8	RBBP8
CD300LG	CD300LG
GPR34	GPR34
PRR20A	PRR20A
AL390778.1	AL390778.1
SLC39A12	SLC39A12
F11	F11
RNASE2	RNASE2
SEC23A	SEC23A
AJUBA	AJUBA
SYT3	SYT3
NAP1L5	NAP1L5
HPN	HPN
TLL2	TLL2
MYPN	MYPN
CHI3L2	CHI3L2
RBP1	RBP1
GSTP1	GSTP1
TBL2	TBL2
TSC22D2	TSC22D2
SLAIN1	SLAIN1
BICRAL	BICRAL
FBXW2	FBXW2
CACNB2	CACNB2
IL33	IL33
MRPL11	MRPL11
DUSP14	DUSP14
PPP1R15B	PPP1R15B
DBF4	DBF4
MFSD4B	MFSD4B
PINLYP	PINLYP
PRKCI	PRKCI
NCCRP1	NCCRP1
CYP2C19	CYP2C19
TPP2	TPP2
KCTD5	KCTD5
PCDHA9	PCDHA9
CCL2	CCL2
OR2T3	OR2T3
LENG1	LENG1
DEFB116	DEFB116
XPO1	XPO1
CTAGE9	CTAGE9
LSM11	LSM11
PIP4P1	PIP4P1
CDAN1	CDAN1
TUSC3	TUSC3
AC090574.1	AC090574.1
TUNAR	TUNAR
CENPN	CENPN
AK1	AK1
KCNJ10	KCNJ10
KRTAP4-3	KRTAP4-3
PUSL1	PUSL1
CCDC138	CCDC138
STAT1	STAT1
MYO3B	MYO3B
SLC17A9	SLC17A9
ARMCX6	ARMCX6
TDRD9	TDRD9
FAR2	FAR2
AL162231.3	AL162231.3
ZNF621	ZNF621
GSKIP	GSKIP
GAGE12B	GAGE12B
C7orf26	C7orf26
CAV3	CAV3
SNRPD2	SNRPD2
BICDL2	BICDL2
DCAF11	DCAF11
TREML2	TREML2
KLF3	KLF3
NPHS1	NPHS1
CAPN5	CAPN5
C11orf97	C11orf97
PPRC1	PPRC1
IL6	IL6
MT1B	MT1B
PFKFB2	PFKFB2
DNAJB4	DNAJB4
PITPNA	PITPNA
NAT10	NAT10
VTI1B	VTI1B
MT-ND4	MT-ND4
GAGE12D	GAGE12D
ITGA4	ITGA4
NDUFA4	NDUFA4
CHAD	CHAD
SFXN2	SFXN2
FGL2	FGL2
C3	C3
SCNN1A	SCNN1A
KIF7	KIF7
WDR36	WDR36
KIF11	KIF11
RDH10	RDH10
FGF7	FGF7
ANKRD37	ANKRD37
TRIM65	TRIM65
APBB1	APBB1
PGAM1	PGAM1
ELMOD3	ELMOD3
VPS13D	VPS13D
IFNAR2	IFNAR2
CPB2	CPB2
RRP36	RRP36
KIAA1958	KIAA1958
TEX13A	TEX13A
CACNA1B	CACNA1B
WWP2	WWP2
ATG4B	ATG4B
OR52B4	OR52B4
LTB4R	LTB4R
NPTX1	NPTX1
SLC52A3	SLC52A3
ATXN1	ATXN1
LIN7C	LIN7C
NDUFA7	NDUFA7
FAM24B	FAM24B
POTED	POTED
TM7SF2	TM7SF2
RNF20	RNF20
MTRNR2L4	MTRNR2L4
CLEC3A	CLEC3A
PRDM4	PRDM4
NOTCH1	NOTCH1
MAN1A1	MAN1A1
AZI2	AZI2
PGBD2	PGBD2
RTL8C	RTL8C
SLC34A1	SLC34A1
FAM25A	FAM25A
SUMO4	SUMO4
CXCR2	CXCR2
TMSB4Y	TMSB4Y
CPLANE2	CPLANE2
THBS4	THBS4
FLII	FLII
ZNF518A	ZNF518A
MAPK8IP3	MAPK8IP3
SIGMAR1	SIGMAR1
INHBE	INHBE
MAL2	MAL2
AC020629.1	AC020629.1
THRAP3	THRAP3
KANSL1	KANSL1
GZMB	GZMB
PCDH12	PCDH12
TESPA1	TESPA1
ZBTB7C	ZBTB7C
PAX5	PAX5
SAP30	SAP30
CYP26B1	CYP26B1
C1orf94	C1orf94
DCST1	DCST1
COA4	COA4
RGS10	RGS10
HBB	HBB
AP001267.5	AP001267.5
FUT10	FUT10
CIDEB	CIDEB
OR8D2	OR8D2
OXTR	OXTR
ANXA8	ANXA8
SMN1	SMN1
SPRED1	SPRED1
B4GALNT3	B4GALNT3
TMEM223	TMEM223
RNF222	RNF222
ID2	ID2
COX18	COX18
TMEM212	TMEM212
CFAP57	CFAP57
GTF2F2	GTF2F2
OR2Z1	OR2Z1
KCNK4	KCNK4
TRMT10B	TRMT10B
NOG	NOG
PTPRD	PTPRD
PRSS21	PRSS21
IGIP	IGIP
SSX3	SSX3
HID1	HID1
RREB1	RREB1
PPIL2	PPIL2
NOX3	NOX3
PRRX2	PRRX2
TMEM65	TMEM65
PTPRJ	PTPRJ
AUNIP	AUNIP
CFAP161	CFAP161
AK8	AK8
SREK1IP1	SREK1IP1
TDRD5	TDRD5
VAX2	VAX2
AGMAT	AGMAT
CHMP4B	CHMP4B
NME7	NME7
OR2T10	OR2T10
MC1R	MC1R
INPP5B	INPP5B
WDR12	WDR12
EXOC8	EXOC8
GALNT7	GALNT7
DPF3	DPF3
ZMYM2	ZMYM2
ZFR	ZFR
OR6Q1	OR6Q1
DDX49	DDX49
BIK	BIK
LGI3	LGI3
DGKB	DGKB
SERPINA4	SERPINA4
DCANP1	DCANP1
MRPL54	MRPL54
HOXC11	HOXC11
RALGAPA2	RALGAPA2
NUB1	NUB1
TRMT112	TRMT112
SKI	SKI
RNMT	RNMT
PCDHA13	PCDHA13
IQCJ	IQCJ
DHX30	DHX30
CLEC5A	CLEC5A
NCOA5	NCOA5
RAN	RAN
PABPN1L	PABPN1L
ATP6V0B	ATP6V0B
ZFP28	ZFP28
STOM	STOM
FAM81A	FAM81A
ARHGAP17	ARHGAP17
PGLYRP1	PGLYRP1
PREPL	PREPL
OXCT2	OXCT2
YY1	YY1
PAPPA	PAPPA
TRIM10	TRIM10
HS3ST3A1	HS3ST3A1
OST4	OST4
PTPA	PTPA
CCDC183	CCDC183
GSTM3	GSTM3
CTC1	CTC1
